Instance,Method,Time,Quality,Optimal,RelErr_Display
test1,Greedy Set Cover,0.0000,2,2,0.0000
test2,Greedy Set Cover,0.0000,3,2,0.5000
test3,Greedy Set Cover,0.0000,7,6,0.1667
test4,Greedy Set Cover,0.0000,5,4,0.2500
test5,Greedy Set Cover,0.0000,5,4,0.2500
small1,Greedy Set Cover,0.0000,5,5,0.0000
small10,Greedy Set Cover,0.0000,3,2,0.5000
small11,Greedy Set Cover,0.0001,5,4,0.2500
small12,Greedy Set Cover,0.0000,4,3,0.3333
small13,Greedy Set Cover,0.0000,3,2,0.5000
small14,Greedy Set Cover,0.0000,3,2,0.5000
small15,Greedy Set Cover,0.0000,3,2,0.5000
small16,Greedy Set Cover,0.0000,3,2,0.5000
small17,Greedy Set Cover,0.0000,3,2,0.5000
small18,Greedy Set Cover,0.0000,3,2,0.5000
small2,Greedy Set Cover,0.0000,4,3,0.3333
small3,Greedy Set Cover,0.0000,6,5,0.2000
small4,Greedy Set Cover,0.0000,5,4,0.2500
small5,Greedy Set Cover,0.0000,6,5,0.2000
small6,Greedy Set Cover,0.0000,4,3,0.3333
small7,Greedy Set Cover,0.0000,4,3,0.3333
small8,Greedy Set Cover,0.0000,3,2,0.5000
small9,Greedy Set Cover,0.0000,4,3,0.3333
large1,Greedy Set Cover,0.4497,83,50,0.6600
large10,Greedy Set Cover,0.3533,319,221,0.4434
large11,Greedy Set Cover,0.0811,56,40,0.4000
large12,Greedy Set Cover,0.0034,18,15,0.2000
large2,Greedy Set Cover,0.0015,21,19,0.1053
large3,Greedy Set Cover,0.0069,17,15,0.1333
large4,Greedy Set Cover,0.1509,153,91,0.6813
large5,Greedy Set Cover,0.0039,8,6,0.3333
large6,Greedy Set Cover,0.0084,7,6,0.1667
large7,Greedy Set Cover,0.4428,172,95,0.8105
large8,Greedy Set Cover,0.0016,6,5,0.2000
large9,Greedy Set Cover,0.0065,16,14,0.1429
